DATE,VEHICLE,MILEAGE,COST,INFO,RECEIPT
2024-10-07,2017 Nissan Rogue,105725.0,114.76,Oil change. 14 point multi inspection. See document for future repairs,C:\Receipts\Vehicles\2024-10-07_Rogue.pdf
2024-08-19,2017 Nissan Rogue,103061.0,0.0, Front tire sensor stopped working after new tires were installed on vehicle. Costco did not fix the problem,C:\Receipts\Vehicles\2024-08-19_Rouge.pdf
2023-10-16,2004 Nissan Rouge,88400.0,95.42,Oil change and filter,C:\Receipts\Vehicles\2023-10-06_Rogue.pdf
2023-05-23,2017 Nissan Rogue,82202.0,0.0, Installed  passenger rear tire,C:\Receipts\Vehicles\2023-05-23_Rogue.pdf
2023-05-22,2017 Nissan Rogue,82195.0,197.73, Lube and oil service, brake fluid replacement,C:\Receipts\Vehicles\2023-05-22_Rogue.pdf
2023-05-17,2017 Nissan Rogue,82190.0,83.99, Purchased tire for  passenger  rear ,C:\Receipts\Vehicles\2023-05-17_Rogue.pdf
2022-12-15,2017 Nissan Rogue,74752.0,1484.09, lube and oil service, cooling fan assembly replacement,C:\Receipts\Vehicles\2022-12-15_Rogue.pdf
2022-08-25,2004 Nissan Rogue,70183.0,889.54,Oil and lube service, new battery, transmissionfluid changed, brake fluid changed,C:\Receipts\Vehicles\2022-08-25_Rogue.pdf
2022-05-18,2004 Nissan Rogue,63149.0,67.02,Oil and lube service,C:\Receipts\Vehicles\2022-05-18_Rogue.pdf
2022-02-22,2017 Nissan Rogue,61337.0,342.68, Replaced rear brakes, Oil and lube service, tire rotations,C:\Receipts\Vehicles\2022-02-22_Rogue.pdf
2021-11-10,2004 Nissan Rogue,56641.0,202.92,50K miles service,C:\Receipts\Vehicles\2021-11-10_Rogue.pdf
2021-07-01,2004 Nissan Rogue,50736.0,41.73,Oil and lube service,C:\Receipts\Vehicles\2021-07-01_Rouge.pdf
2021-01-15,2017 Nissan Rogue,43815.0,52.56, Oil and lube service,C:\Receipts\Vehicles\2021-01-15_Rogue.pdf
2020-10-29,2004 Nissan Rogue,39255.0,0.0,Installed 4 new tires on vehicle,C:\Receipts\Vehicles\2020-10-29_Rogue.pdf
2020-10-20,2017 Nissan Rogue,39178.0,712.58, Purchased 4 new tires,C:\Receipts\Vehicles\2020-10-20_Rogue.pdf
